id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
11,3,ECOLO,104,6,6,,,4,5,,5,1,,,6,3,3,6,,3,6,,4,5,1,8,4,,4,3,2,2,2,2,2,5,6,0,1,5,2,1,4,,,,,,2,10,6,1,1987,5,4,bel,.51492864,.90453404,.79296148,,,
10,4,AGALEV,105,7,3,,0,3,,5,8,2,5,,8,4,2,6,3,2,5,6,3,7,1,10,4,4,3,2,0,3,6,3,3,5,4,0,0,6,0,2,2,6,6,7,6,7,3,9,6,2,,6,3,bel,.51492864,.88762534,.83484709,,,
5,4,AGALEV,105,7,4,2,,3,1,,6,3,3,,7,2,3,7,2,3,6,3,3,5,3,,3,3,4,3,2,4,3,3,4,6,5,0,2,6,3,0,7,6,6,4,4,6,3,9,6,2,1958,4,3,bel,.51492864,.88762534,.83484709,,,
11,4,AGALEV,105,6,6,,,4,5,,5,1,,,6,3,3,6,,3,6,,4,5,1,8,4,,4,3,2,2,2,2,2,5,6,0,1,5,2,1,4,,,,,,2,10,6,1,1987,5,4,bel,.51492864,.88762534,.83484709,,,
8,4,AGALEV,105,7,,,1,2,0,,5,0,1,,8,2,2,8,1,1,8,1,2,9,0,10,1,1,0,0,0,,0,0,,3,9,0,.d,8,1,0,3,,,,,,2,10,7,2,1966,3,1,bel,.51492864,.88762534,.83484709,,,
2,4,AGALEV,105,7,5,2,,3,,4,5,1,,1,3,2,3,5,3,3,6,3,2,6,0,9,3,4,4,3,1,1,2,3,2,6,8,0,3,5,6,1,5,4,4,5,4,6,3,9,6,2,1975,3,3,bel,.51492864,.88762534,.83484709,,,
12,4,AGALEV,105,6,7,4,,3,3,,8,1,1,,9,2,2,5,3,3,6,5,3,7,1,10,2,3,4,1,0,4,2,3,2,6,2,,.d,7,3,7,4,6,6,6,6,5,3,9,6,2,1987,4,2,bel,.51492864,.88762534,.83484709,,,
9,4,AGALEV,105,6,4,,3,2,,1,7,0,0,,7,2,2,6,2,0,9,2,0,9,0,10,1,0,0,2,0,0,0,0,1,7,9,,9,3,0,0,4,6,5,3,7,7,2,10,8,2,1963,6,6,bel,.51492864,.88762534,.83484709,,,
3,4,AGALEV,105,6,3,2,,4,3,,6,1,1,,2,3,3,4,3,3,4,2,4,7,1,10,2,3,3,3,3,2,4,3,2,7,4,0,3,7,6,2,5,,5,3,3,4,3,10,5,2,1983,7,3,bel,.51492864,.88762534,.83484709,,,
6,4,AGALEV,105,6,4,,1,2,1,,7,1,1,,6,2,2,7,1,1,7,2,1,7,0,10,2,2,2,1,0,1,1,1,2,8,7,0,0,8,3,6,2,6,5,5,3,5,4,9,7,1,1994,6,3,bel,.51492864,.88762534,.83484709,,,
